fold,corruption_type,kl_divergences
0,brightness_1,0.052022155
0,brightness_2,0.19728671
0,brightness_3,0.4110913
0,brightness_4,0.67135066
0,brightness_5,1.257052
0,contrast_1,0.083832934
0,contrast_2,0.3540696
0,contrast_3,0.5412623
0,contrast_4,0.7982101
0,contrast_5,1.4085125
0,defocus_blur_1,0.0019782924
0,defocus_blur_2,0.012175282
0,defocus_blur_3,0.02896651
0,defocus_blur_4,0.048820768
0,defocus_blur_5,0.11495141
0,elastic_1,1.1266268
0,elastic_2,0.973508
0,elastic_3,0.80854946
0,elastic_4,0.69823277
0,elastic_5,0.47598836
0,fog_1,0.08934809
0,fog_2,0.35441464
0,fog_3,0.63150084
0,fog_4,0.93217
0,fog_5,1.4466785
0,frost_1,0.46096256
0,frost_2,0.93612206
0,frost_3,1.1962776
0,frost_4,1.0663253
0,frost_5,1.1024528
0,frosted_glass_blur_1,0.32836553
0,frosted_glass_blur_2,0.32518896
0,frosted_glass_blur_3,0.31415644
0,frosted_glass_blur_4,0.8053656
0,frosted_glass_blur_5,0.77529365
0,gaussian_blur_1,0.0018703823
0,gaussian_blur_2,0.028375823
0,gaussian_blur_3,0.049841113
0,gaussian_blur_4,0.07582729
0,gaussian_blur_5,0.14218752
0,gaussian_noise_1,0.035945673
0,gaussian_noise_2,0.07398698
0,gaussian_noise_3,0.12202966
0,gaussian_noise_4,0.14789177
0,gaussian_noise_5,0.17646743
0,impulse_noise_1,0.065419436
0,impulse_noise_2,0.12425507
0,impulse_noise_3,0.17846969
0,impulse_noise_4,0.28018963
0,impulse_noise_5,0.37556836
0,jpeg_compression_1,0.021783574
0,jpeg_compression_2,0.03912488
0,jpeg_compression_3,0.04717975
0,jpeg_compression_4,0.057006445
0,jpeg_compression_5,0.07270324
0,motion_blur_1,0.12375937
0,motion_blur_2,0.27089816
0,motion_blur_3,0.4124529
0,motion_blur_4,0.41189897
0,motion_blur_5,0.5389253
0,pixelate_1,0.018861702
0,pixelate_2,0.032233916
0,pixelate_3,0.034980774
0,pixelate_4,0.056956924
0,pixelate_5,0.072603054
0,saturate_1,0.27645898
0,saturate_2,0.466532
0,saturate_3,0.1059707
0,saturate_4,0.4782467
0,saturate_5,0.87726504
0,shot_noise_1,0.024145553
0,shot_noise_2,0.04447513
0,shot_noise_3,0.097329386
0,shot_noise_4,0.123621054
0,shot_noise_5,0.17160664
0,snow_1,0.11529374
0,snow_2,0.36631125
0,snow_3,0.4967521
0,snow_4,0.81571543
0,snow_5,1.247524
0,spatter_1,0.051473927
0,spatter_2,0.14913064
0,spatter_3,0.3173863
0,spatter_4,0.2457394
0,spatter_5,0.38803375
0,speckle_noise_1,0.02709182
0,speckle_noise_2,0.06419833
0,speckle_noise_3,0.08687178
0,speckle_noise_4,0.13771974
0,speckle_noise_5,0.1959855
0,zoom_blur_1,0.19847547
0,zoom_blur_2,0.26453528
0,zoom_blur_3,0.37540045
0,zoom_blur_4,0.49966314
0,zoom_blur_5,0.62749255
1,brightness_1,0.19617943
1,brightness_2,0.608444
1,brightness_3,1.0286617
1,brightness_4,1.2194774
1,brightness_5,1.5955558
1,contrast_1,0.120672144
1,contrast_2,0.4845534
1,contrast_3,0.7286581
1,contrast_4,0.9800241
1,contrast_5,1.4518636
1,defocus_blur_1,0.0025249855
1,defocus_blur_2,0.012994226
1,defocus_blur_3,0.029304229
1,defocus_blur_4,0.047354985
1,defocus_blur_5,0.10513575
1,elastic_1,0.74055696
1,elastic_2,0.64306
1,elastic_3,0.53281367
1,elastic_4,0.46434078
1,elastic_5,0.31744996
1,fog_1,0.36079893
1,fog_2,0.87267005
1,fog_3,1.1808196
1,fog_4,1.4361925
1,fog_5,1.7477037
1,frost_1,1.026794
1,frost_2,1.3552636
1,frost_3,1.6124822
1,frost_4,1.5604867
1,frost_5,1.6626495
1,frosted_glass_blur_1,0.21508421
1,frosted_glass_blur_2,0.2150295
1,frosted_glass_blur_3,0.21215972
1,frosted_glass_blur_4,0.5240886
1,frosted_glass_blur_5,0.5086968
1,gaussian_blur_1,0.002416132
1,gaussian_blur_2,0.029052643
1,gaussian_blur_3,0.049673885
1,gaussian_blur_4,0.0740028
1,gaussian_blur_5,0.133653
1,gaussian_noise_1,0.023699932
1,gaussian_noise_2,0.054395635
1,gaussian_noise_3,0.09708227
1,gaussian_noise_4,0.12653705
1,gaussian_noise_5,0.1508346
1,impulse_noise_1,0.053214673
1,impulse_noise_2,0.119701155
1,impulse_noise_3,0.19356917
1,impulse_noise_4,0.3824922
1,impulse_noise_5,0.5837148
1,jpeg_compression_1,0.016239649
1,jpeg_compression_2,0.02835838
1,jpeg_compression_3,0.03372662
1,jpeg_compression_4,0.0404727
1,jpeg_compression_5,0.051084045
1,motion_blur_1,0.09022399
1,motion_blur_2,0.20076624
1,motion_blur_3,0.3100625
1,motion_blur_4,0.3100159
1,motion_blur_5,0.41529363
1,pixelate_1,0.015345072
1,pixelate_2,0.024949854
1,pixelate_3,0.02647848
1,pixelate_4,0.0454361
1,pixelate_5,0.05270672
1,saturate_1,0.24530734
1,saturate_2,0.39331055
1,saturate_3,0.09754456
1,saturate_4,0.40000087
1,saturate_5,0.7104562
1,shot_noise_1,0.012216629
1,shot_noise_2,0.023104046
1,shot_noise_3,0.05349864
1,shot_noise_4,0.06881545
1,shot_noise_5,0.09826328
1,snow_1,0.21251848
1,snow_2,0.70587146
1,snow_3,0.92424405
1,snow_4,1.2465609
1,snow_5,1.56822
1,spatter_1,0.039259784
1,spatter_2,0.1448334
1,spatter_3,0.42886606
1,spatter_4,0.13449138
1,spatter_5,0.20857182
1,speckle_noise_1,0.012321726
1,speckle_noise_2,0.031074671
1,speckle_noise_3,0.043197203
1,speckle_noise_4,0.07146477
1,speckle_noise_5,0.10509835
1,zoom_blur_1,0.14344399
1,zoom_blur_2,0.1905978
1,zoom_blur_3,0.26690453
1,zoom_blur_4,0.35132658
1,zoom_blur_5,0.43813303
2,brightness_1,0.04499072
2,brightness_2,0.16468869
2,brightness_3,0.33622742
2,brightness_4,0.5429445
2,brightness_5,1.0053855
2,contrast_1,0.11197716
2,contrast_2,0.38803184
2,contrast_3,0.5765167
2,contrast_4,0.84773415
2,contrast_5,1.5290043
2,defocus_blur_1,0.003744869
2,defocus_blur_2,0.024523515
2,defocus_blur_3,0.06133165
2,defocus_blur_4,0.10557471
2,defocus_blur_5,0.28861
2,elastic_1,1.7505985
2,elastic_2,1.5476328
2,elastic_3,1.3117447
2,elastic_4,1.1597073
2,elastic_5,0.85139
2,fog_1,0.120642856
2,fog_2,0.38181737
2,fog_3,0.64305496
2,fog_4,0.9351206
2,fog_5,1.4652532
2,frost_1,0.3710578
2,frost_2,0.73415935
2,frost_3,0.9761946
2,frost_4,0.90326834
2,frost_5,1.0102646
2,frosted_glass_blur_1,0.63308644
2,frosted_glass_blur_2,0.6284022
2,frosted_glass_blur_3,0.60354817
2,frosted_glass_blur_4,1.3864646
2,frosted_glass_blur_5,1.3289254
2,gaussian_blur_1,0.0035000802
2,gaussian_blur_2,0.058374625
2,gaussian_blur_3,0.10308238
2,gaussian_blur_4,0.15425971
2,gaussian_blur_5,0.2743796
2,gaussian_noise_1,0.08338712
2,gaussian_noise_2,0.16975093
2,gaussian_noise_3,0.2705775
2,gaussian_noise_4,0.3235701
2,gaussian_noise_5,0.379095
2,impulse_noise_1,0.14854771
2,impulse_noise_2,0.27611834
2,impulse_noise_3,0.3846936
2,impulse_noise_4,0.5731841
2,impulse_noise_5,0.73314637
2,jpeg_compression_1,0.062923506
2,jpeg_compression_2,0.10992751
2,jpeg_compression_3,0.1303315
2,jpeg_compression_4,0.15468195
2,jpeg_compression_5,0.19103535
2,motion_blur_1,0.2054596
2,motion_blur_2,0.42565215
2,motion_blur_3,0.61838573
2,motion_blur_4,0.61673874
2,motion_blur_5,0.7800381
2,pixelate_1,0.057600837
2,pixelate_2,0.10310904
2,pixelate_3,0.11409039
2,pixelate_4,0.1822535
2,pixelate_5,0.2675175
2,saturate_1,0.30322453
2,saturate_2,0.51218206
2,saturate_3,0.08773698
2,saturate_4,0.44461915
2,saturate_5,0.8060667
2,shot_noise_1,0.05616347
2,shot_noise_2,0.10443044
2,shot_noise_3,0.22127014
2,shot_noise_4,0.2747472
2,shot_noise_5,0.36650527
2,snow_1,0.14968893
2,snow_2,0.39248827
2,snow_3,0.5355494
2,snow_4,0.7683639
2,snow_5,1.0816795
2,spatter_1,0.09331365
2,spatter_2,0.24471688
2,spatter_3,0.45103565
2,spatter_4,0.3915095
2,spatter_5,0.61645645
2,speckle_noise_1,0.06431493
2,speckle_noise_2,0.1532253
2,speckle_noise_3,0.20063998
2,speckle_noise_4,0.30254954
2,speckle_noise_5,0.41098192
2,zoom_blur_1,0.32961828
2,zoom_blur_2,0.4516836
2,zoom_blur_3,0.6212376
2,zoom_blur_4,0.8072649
2,zoom_blur_5,0.9737796
3,brightness_1,0.14981046
3,brightness_2,0.3860407
3,brightness_3,0.66859066
3,brightness_4,0.9736108
3,brightness_5,1.6017966
3,contrast_1,1.2707158
3,contrast_2,2.1969187
3,contrast_3,2.4235318
3,contrast_4,2.681258
3,contrast_5,3.292095
3,defocus_blur_1,0.004176422
3,defocus_blur_2,0.02471327
3,defocus_blur_3,0.06303396
3,defocus_blur_4,0.11323842
3,defocus_blur_5,0.31372753
3,elastic_1,1.5791005
3,elastic_2,1.4041427
3,elastic_3,1.1969727
3,elastic_4,1.0632308
3,elastic_5,0.7951204
3,fog_1,2.214637
3,fog_2,2.844367
3,fog_3,3.1184044
3,fog_4,3.4049342
3,fog_5,3.9272375
3,frost_1,0.87388694
3,frost_2,1.5352879
3,frost_3,1.7092664
3,frost_4,1.5343513
3,frost_5,2.226365
3,frosted_glass_blur_1,0.6135391
3,frosted_glass_blur_2,0.60796577
3,frosted_glass_blur_3,0.5812117
3,frosted_glass_blur_4,1.2378461
3,frosted_glass_blur_5,1.1934751
3,gaussian_blur_1,0.004257111
3,gaussian_blur_2,0.06038092
3,gaussian_blur_3,0.10650579
3,gaussian_blur_4,0.15821005
3,gaussian_blur_5,0.2733702
3,gaussian_noise_1,0.16370943
3,gaussian_noise_2,0.3915677
3,gaussian_noise_3,0.7871952
3,gaussian_noise_4,1.0567681
3,gaussian_noise_5,1.3388596
3,impulse_noise_1,0.19410634
3,impulse_noise_2,0.49445835
3,impulse_noise_3,0.7566799
3,impulse_noise_4,1.5708901
3,impulse_noise_5,2.371673
3,jpeg_compression_1,0.083119325
3,jpeg_compression_2,0.14144492
3,jpeg_compression_3,0.16638142
3,jpeg_compression_4,0.19510323
3,jpeg_compression_5,0.23513654
3,motion_blur_1,0.19066252
3,motion_blur_2,0.39366016
3,motion_blur_3,0.5743958
3,motion_blur_4,0.5728924
3,motion_blur_5,0.7268353
3,pixelate_1,0.07266134
3,pixelate_2,0.13258842
3,pixelate_3,0.1355121
3,pixelate_4,0.19791293
3,pixelate_5,0.3404874
3,saturate_1,0.3357303
3,saturate_2,0.58509314
3,saturate_3,0.11801204
3,saturate_4,2.1762679
3,saturate_5,3.18411
3,shot_noise_1,0.15078244
3,shot_noise_2,0.35046586
3,shot_noise_3,1.1148223
3,shot_noise_4,1.5470158
3,shot_noise_5,2.292568
3,snow_1,0.3083249
3,snow_2,0.78533596
3,snow_3,0.8980176
3,snow_4,1.367096
3,snow_5,1.994231
3,spatter_1,0.0944326
3,spatter_2,0.23651986
3,spatter_3,0.4227015
3,spatter_4,1.1441711
3,spatter_5,1.9725382
3,speckle_noise_1,0.2656975
3,speckle_noise_2,1.0529152
3,speckle_noise_3,1.6014556
3,speckle_noise_4,2.6188214
3,speckle_noise_5,2.9454498
3,zoom_blur_1,0.29149252
3,zoom_blur_2,0.4082905
3,zoom_blur_3,0.5620689
3,zoom_blur_4,0.7378019
3,zoom_blur_5,0.89991635
4,brightness_1,0.04296226
4,brightness_2,0.15863158
4,brightness_3,0.32605124
4,brightness_4,0.52958655
4,brightness_5,0.99229217
4,contrast_1,0.09970918
4,contrast_2,0.376665
4,contrast_3,0.5614916
4,contrast_4,0.814118
4,contrast_5,1.4093641
4,defocus_blur_1,0.004021739
4,defocus_blur_2,0.026829196
4,defocus_blur_3,0.06832695
4,defocus_blur_4,0.12226229
4,defocus_blur_5,0.32783303
4,elastic_1,1.6056674
4,elastic_2,1.4271421
4,elastic_3,1.2216527
4,elastic_4,1.0869634
4,elastic_5,0.8143342
4,fog_1,0.100278184
4,fog_2,0.3520411
4,fog_3,0.5976639
4,fog_4,0.86579895
4,fog_5,1.3495085
4,frost_1,0.37647706
4,frost_2,0.74366385
4,frost_3,0.9948223
4,frost_4,0.92517173
4,frost_5,1.0242989
4,frosted_glass_blur_1,0.62271434
4,frosted_glass_blur_2,0.6170989
4,frosted_glass_blur_3,0.5939736
4,frosted_glass_blur_4,1.2709721
4,frosted_glass_blur_5,1.2253363
4,gaussian_blur_1,0.0037924133
4,gaussian_blur_2,0.065493844
4,gaussian_blur_3,0.11589738
4,gaussian_blur_4,0.17232184
4,gaussian_blur_5,0.29708168
4,gaussian_noise_1,0.09645928
4,gaussian_noise_2,0.18928286
4,gaussian_noise_3,0.2949366
4,gaussian_noise_4,0.34949487
4,gaussian_noise_5,0.4044356
4,impulse_noise_1,0.15698794
4,impulse_noise_2,0.28339395
4,impulse_noise_3,0.39042726
4,impulse_noise_4,0.56771237
4,impulse_noise_5,0.713026
4,jpeg_compression_1,0.08987194
4,jpeg_compression_2,0.14841893
4,jpeg_compression_3,0.17175885
4,jpeg_compression_4,0.1992335
4,jpeg_compression_5,0.23934808
4,motion_blur_1,0.19229485
4,motion_blur_2,0.39442897
4,motion_blur_3,0.5711331
4,motion_blur_4,0.5696464
4,motion_blur_5,0.7201178
4,pixelate_1,0.06975421
4,pixelate_2,0.11134195
4,pixelate_3,0.13252683
4,pixelate_4,0.20828086
4,pixelate_5,0.3176365
4,saturate_1,0.31631362
4,saturate_2,0.5267519
4,saturate_3,0.093970016
4,saturate_4,0.43270397
4,saturate_5,0.78283274
4,shot_noise_1,0.06252842
4,shot_noise_2,0.11322636
4,shot_noise_3,0.23418094
4,shot_noise_4,0.28871536
4,shot_noise_5,0.3825878
4,snow_1,0.14863065
4,snow_2,0.3971865
4,snow_3,0.52588487
4,snow_4,0.76817393
4,snow_5,1.0734273
4,spatter_1,0.09782249
4,spatter_2,0.2457779
4,spatter_3,0.43857732
4,spatter_4,0.34465453
4,spatter_5,0.5367243
4,speckle_noise_1,0.069292136
4,speckle_noise_2,0.15806025
4,speckle_noise_3,0.20787013
4,speckle_noise_4,0.31282997
4,speckle_noise_5,0.420265
4,zoom_blur_1,0.30384916
4,zoom_blur_2,0.42253023
4,zoom_blur_3,0.5788919
